indicador,credencial,anio,obs_sin_expandir,ocupados_expandido,promedio,p10,p25,mediana,p75,p90,p90_p10,desv_est_log
Remuneración mensual por trabajador,Universitaria,2021,39727,1943847.54519988,3640472.180854061,1202742.6400000001,1640103.6,2733506.0,4100259.0000000005,6560414.4,5.454545454545454,0.8067166147986491
Remuneración mensual por trabajador,Universitaria,2025,43378,2609914.900178875,3485556.0878253435,1380000.0,1800000.0,2800000.0,4000000.0,6000000.0,4.3478260869565215,0.7662157692174899
Remuneración mensual por trabajador,Especialización,2021,9115,474210.9095918743,6877070.1885167025,2050129.5000000002,3416882.5000000005,5193661.4,7771134.649901832,12300777.000000002,6.0,0.76288191912565
Remuneración mensual por trabajador,Especialización,2025,11275,729592.2345135491,6271000.856723731,2119173.19950551,3400000.0,5000000.0,7000000.0,11388000.0,5.373793894079676,0.7008757401241092
Remuneración mensual por trabajador,Maestría,2021,3537,221172.80203012232,7825068.895556092,2733506.0,4100259.0000000005,5740362.600000001,9567271.0,15034283.000000002,5.500000000000001,0.7488779221722276
Remuneración mensual por trabajador,Maestría,2025,4830,357725.62126291054,7983589.3062807815,2900000.0,4000000.0,6000000.0,9000000.0,15288629.041687464,5.271941048857746,0.6980423655479199
Remuneración por hora trabajada,Universitaria,2021,39727,1943847.54519988,19561.19933408477,5913.835096153847,8448.335851648353,13798.948557692309,22528.895604395606,33905.98788461539,5.7333333333333325,0.7968824674986442
Remuneración por hora trabajada,Universitaria,2025,43378,2609914.900178875,19494.685972373067,6843.75,9440.55944055944,14685.314685314686,23076.923076923078,34615.38461538462,5.05795574288725,0.7407457828111091
Remuneración por hora trabajada,Especialización,2021,9115,474210.9095918743,35681.034669988774,11039.158846153849,17421.47073424858,26283.71153846154,39425.56730769231,63080.9076923077,5.7142857142857135,0.746641637260883
Remuneración por hora trabajada,Especialización,2025,11275,729592.2345135491,34713.895200396786,12062.937062937064,18356.64335664336,27472.527472527472,40384.61538461539,63461.53846153847,5.260869565217392,0.6856931963488686
Remuneración por hora trabajada,Maestría,2021,3537,221172.80203012232,41247.4021752057,15113.134134615386,22078.317692307694,31540.45384615385,47310.68076923078,78851.13461538462,5.217391304347826,0.711933485083538
Remuneración por hora trabajada,Maestría,2025,4830,357725.62126291054,44614.50114133476,16153.846153846156,23076.923076923078,34615.38461538462,51923.07692307693,83914.35300819809,5.194698043364642,0.6743840589514953
