cohorte,grupo_educativo,orden_cohorte,orden_educ,ocupados_2010,ocupados_2025,rem_trabajador_2010,rem_trabajador_2025,crec_rem_trabajador,rem_hora_2010,rem_hora_2025,crec_rem_hora
1985--1990,Total,1,0,1948106.7304373225,2806741.128788971,1159876.031129443,2257652.1285835616,0.04540128605004812,5681.138965924803,11600.870305730852,0.048746064039118187
1985--1990,Primaria o menos,1,1,328750.09568611917,415461.45913350885,746118.1612300898,1079349.4548639904,0.02492077824471628,3633.9639469701606,5677.772724800239,0.030195921019293914
1985--1990,Secundaria,1,2,1038737.5412672184,1279066.3957960438,1029824.4614627843,1396881.9821810278,0.02053154660996026,4851.003129638253,7049.235618003878,0.025228565267724434
1985--1990,Universitaria o superior,1,3,580619.0934839852,1112213.273859418,1626812.7717160871,3687702.9599076714,0.05607450237367839,8609.002463004557,19185.564171133236,0.054876092073390836
1980--1985,Total,2,0,2291442.36131676,2771695.5946991015,1516766.6729053706,2223445.5502914796,0.025826344419951353,7237.781307564378,11478.567097227175,0.03122194870292594
1980--1985,Primaria o menos,2,1,475886.06921569415,551168.8178417768,845906.2507324631,1063732.3906736684,0.015392637296723244,4051.236907930934,5630.36024349903,0.022185939557135104
1980--1985,Secundaria,2,2,1074552.0570935258,1221002.9258889742,1146726.7734393724,1435973.3481147808,0.015108416126186741,5293.1572152863255,7279.493055793641,0.021470329297125
1980--1985,Universitaria o superior,2,3,741004.2350075399,999523.8509683507,2484210.893343358,3824911.6809749063,0.029189934097204828,12434.573902718837,19922.395463638302,0.031923200215993264
1975--1980,Total,3,0,2082107.280402989,2302969.2974238764,1667700.7387095895,2170132.1064322465,0.01771115957637126,7980.5511287801355,11284.924867151813,0.023366161416691567
1975--1980,Primaria o menos,3,1,582135.6153362712,617235.7816783384,966666.5453069293,1105714.1510678465,0.008999796412154426,4673.595600516146,5835.986187206646,0.014917813034279304
1975--1980,Secundaria,3,2,896179.1934068678,971451.2385305611,1212025.6886137424,1421915.3565244419,0.010704333974405067,5607.268354151221,7257.095672994859,0.01734307644162203
1975--1980,Universitaria o superior,3,3,603792.4716598499,714282.2772149768,3019926.062344817,4107535.5409606313,0.020717752084474572,15071.817042322538,21639.262748857924,0.024405236438458378
