anio,ocupados,rem_por_trabajador,rem_por_hora
2010,730694.3585072912,2332317.3780392096,11738.355555007665
2011,765285.2240898493,2244290.029992577,11407.351624595434
2012,803799.75087046,2239403.3422852186,11419.996989295785
2013,879962.6095302139,2350799.7310449756,11918.56779209148
2014,933770.4457507614,2316232.819150627,11761.406760534204
2015,957680.3450136066,2176877.5162973907,11025.703932039087
2016,940214.5520203735,2191149.2733712513,11119.365762148327
2017,955840.0313121007,2152520.7643013936,10971.240678408029
2018,974583.9517914042,2140267.0848344723,10904.87545052909
2019,1059544.099220071,2167082.561180231,11036.893152971274
2021,931065.0728602001,2394418.422559673,12012.105527994114
2022,1142904.840062181,2222010.318320665,11175.06906887866
2023,1224402.1494134937,2296124.294360849,11726.557469404062
2024,1190990.0908544925,2412757.1677555256,12491.734161903476
2025,1266238.9775866736,2396381.1230030344,12676.015869509614
